iter	Passed	Remaining
577	2842	2075
578	2844	2068
579	2847	2062
580	2850	2055
581	2853	2049
582	2856	2043
583	2858	2036
584	2862	2030
585	2864	2024
586	2867	2017
587	2870	2011
588	2872	2004
589	2875	1998
590	2878	1992
591	2881	1986
592	2885	1980
593	2888	1974
594	2895	1970
595	2898	1964
596	2901	1958
597	2904	1952
598	2907	1946
599	2910	1940
600	2912	1933
601	2915	1927
602	2917	1920
603	2919	1914
604	2922	1907
605	2924	1901
606	2927	1895
607	2929	1888
608	2932	1882
609	2934	1876
610	2937	1870
611	2940	1864
612	2942	1857
613	2945	1851
614	2947	1845
615	2950	1839
616	2952	1832
617	2955	1826
618	2958	1820
619	2960	1814
620	2963	1808
621	2966	1802
622	2968	1796
623	2971	1790
624	2974	1784
625	2976	1778
626	2979	1772
627	2981	1766
628	2984	1760
629	2986	1754
630	2989	1748
631	2992	1742
632	2994	1736
633	2997	1730
634	3000	1724
635	3003	1718
636	3005	1712
637	3008	1706
638	3010	1700
639	3013	1694
640	3015	1688
641	3018	1683
642	3021	1677
643	3023	1671
644	3026	1665
645	3029	1659
646	3031	1653
647	3033	1647
648	3036	1641
649	3038	1636
650	3040	1630
651	3043	1624
652	3046	1618
653	3048	1612
654	3051	1607
655	3053	1601
656	3056	1595
657	3058	1589
658	3060	1583
659	3063	1577
660	3065	1572
661	3067	1566
662	3070	1560
663	3072	1554
664	3074	1548
665	3076	1543
666	3079	1537
667	3081	1531
668	3084	1525
669	3086	1520
670	3088	1514
671	3091	1508
672	3093	1503
673	3096	1497
674	3098	1491
675	3100	1486
676	3102	1480
677	3105	1474
678	3107	1469
679	3109	1463
680	3111	1457
681	3114	1452
682	3116	1446
683	3118	1440
684	3120	1435
685	3123	1429
686	3125	1423
687	3127	1418
688	3130	1412
689	3132	1407
690	3134	1401
691	3136	1396
692	3139	1390
693	3141	1385
694	3143	1379
695	3146	1374
696	3148	1368
697	3150	1363
698	3152	1357
699	3155	1352
700	3157	1346
701	3159	1341
702	3162	1336
703	3164	1330
704	3167	1325
705	3170	1320
706	3172	1314
707	3174	1309
708	3176	1303
709	3179	1298
710	3181	1293
711	3183	1287
712	3186	1282
713	3188	1277
714	3190	1271
715	3192	1266
716	3195	1261
717	3197	1255
718	3199	1250
719	3202	1245
720	3204	1240
721	3206	1234
722	3209	1229
723	3211	1224
724	3213	1219
725	3216	1213
726	3219	1208
727	3222	1203
728	3224	1198
729	3226	1193
730	3228	1188
731	3231	1182
732	3233	1177
733	3235	1172
734	3238	1167
735	3240	1162
736	3242	1157
737	3244	1152
738	3247	1146
739	3250	1141
740	3252	1136
741	3254	1131
742	3256	1126
743	3259	1121
744	3261	1116
745	3263	1111
746	3266	1106
747	3268	1101
748	3270	1096
749	3273	1091
750	3275	1086
751	3278	1081
752	3281	1076
753	3283	1071
754	3286	1066
755	3288	1061
756	3291	1056
757	3294	1051
758	3296	1046
759	3299	1041
760	3302	1037
761	3305	1032
762	3308	1027
763	3310	1022
764	3313	1017
765	3315	1012
766	3318	1008
767	3320	1003
768	3323	998
769	3325	993
770	3328	988
771	3330	983
772	3333	978
773	3335	973
774	3337	969
775	3340	964
776	3342	959
777	3345	954
778	3348	949
779	3350	945
780	3353	940
781	3355	935
782	3358	930
783	3360	925
784	3362	920
785	3365	916
786	3367	911
787	3370	906
788	3372	901
789	3375	897
790	3377	892
791	3380	887
792	3383	883
793	3385	878
794	3387	873
795	3390	868
796	3392	864
797	3395	859
798	3397	854
799	3399	849
800	3402	845
801	3404	840
802	3407	835
803	3409	831
804	3412	826
805	3414	821
806	3416	817
807	3418	812
808	3421	807
809	3423	803
810	3426	798
811	3428	793
812	3431	789
813	3433	784
814	3436	779
815	3438	775
816	3440	770
817	3443	766
818	3445	761
819	3447	756
820	3450	752
821	3452	747
822	3454	742
823	3457	738
824	3459	733
825	3462	729
826	3465	724
827	3467	720
828	3471	715
829	3473	711
830	3476	706
831	3478	702
832	3481	697
833	3483	693
834	3486	688
835	3489	684
836	3491	680
837	3494	675
838	3497	671
839	3499	666
840	3502	662
841	3505	657
842	3507	653
843	3510	648
844	3512	644
845	3515	639
846	3517	635
847	3520	630
848	3523	626
849	3525	622
850	3527	617
851	3530	613
852	3532	608
853	3535	604
854	3537	599
855	3540	595
856	3542	591
857	3545	586
858	3547	582
859	3550	577
860	3552	573
861	3554	569
862	3557	564
863	3559	560
864	3561	555
865	3564	551
866	3566	547
867	3568	542
868	3571	538
869	3574	534
870	3576	529
871	3579	525
872	3581	521
873	3584	516
874	3586	512
875	3588	508
876	3591	503
877	3593	499
878	3596	495
879	3598	490
880	3600	486
881	3603	482
882	3605	477
883	3607	473
884	3610	469
885	3613	464
886	3615	460
887	3618	456
888	3621	452
889	3623	447
